NAME,ADDRESS,NEIGHBOURHOOD
CLIFFWOOD PARK - Outdoor Tennis Court (  3),280 CLIFFWOOD RD,North York
CLOVERDALE PARK - Outdoor Tennis Court (  1),85 SHAVER AVE S,Etobicoke York
CLOVERDALE PARK - Outdoor Tennis Court (  2),85 SHAVER AVE S,Etobicoke York
CLOVERDALE PARK - Outdoor Tennis Court (  3),85 SHAVER AVE S,Etobicoke York
COLEMAN PARK - Outdoor Tennis Court (  1),19 COLEMAN AVE,Toronto East York
COLEMAN PARK - Outdoor Tennis Court (  2),19 COLEMAN AVE,Toronto East York
COSBURN PARK - Outdoor Tennis Court (  1),115 ROOSEVELT RD,Toronto East York
COSBURN PARK - Outdoor Tennis Court (  2),115 ROOSEVELT RD,Toronto East York
COSBURN PARK - Outdoor Tennis Court (  3),115 ROOSEVELT RD,Toronto East York
COSBURN PARK - Outdoor Tennis Court (  4),115 ROOSEVELT RD,Toronto East York
COSBURN PARK - Outdoor Tennis Court (  5),115 ROOSEVELT RD,Toronto East York
CUMMER PARK - Outdoor Tennis Court (  1),823 CUMMER AVE,North York
CUMMER PARK - Outdoor Tennis Court (  2),823 CUMMER AVE,North York
CUMMER PARK - Outdoor Tennis Court (  3),823 CUMMER AVE,North York
CUMMER PARK - Outdoor Tennis Court (  4),823 CUMMER AVE,North York
DOVERCOURT PARK - Outdoor Tennis Court (  1),155 BARTLETT AVE,Toronto East York
DOVERCOURT PARK - Outdoor Tennis Court (  2),155 BARTLETT AVE,Toronto East York
EAST MALL PARK - Outdoor Tennis Court (  1),355 THE EAST MALL,Etobicoke York
EAST MALL PARK - Outdoor Tennis Court (  2),355 THE EAST MALL,Etobicoke York
EAST MALL PARK - Outdoor Tennis Court (  3),355 THE EAST MALL,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  1),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  2),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  3),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  4),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  5),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  6),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  7),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  8),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court (  9),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court ( 10),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court ( 11),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court ( 12),101 EMMETT AVE,Etobicoke York
EGLINTON FLATS - Outdoor Tennis Court ( 13),101 EMMETT AVE,Etobicoke York
EGLINTON PARK - Outdoor Tennis Court (  1),200 EGLINTON AVE W,North York
