ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,Lat,Long,Num_courts,Sport
3981,Moss Park,MOSS PARK - Tennis Court Area,MOSS PARK,150 SHERBOURNE ST,Toronto East York,27,Public,Outdoor Tennis Court,Yes,Asphalt,-79.37227743,43.65512985,2,Basketball
3974,North Bendale Park,NORTH BENDALE PARK - Tennis Court Area,NORTH BENDALE PARK,40 ERINLEA CRES,Scarborough,38,Club,Outdoor Tennis Court,Yes,Coated,-79.24578847,43.77006118,3,Basketball
3970,North Park,NORTH PARK - Tennis Court Area,NORTH PARK,587 RUSTIC RD,Etobicoke York,12,Public,Outdoor Tennis Court,No,Asphalt,-79.47183506,43.71827696,2,Basketball
29745,Willowdale Park,,WILLOWDALE PARK,75 HOLLYWOOD AVE,North York,23,Club,Clubhouse,,,-79.40805249,43.7662024,1,Basketball
3959,Norwood Park,NORWOOD PARK - Tennis Court Area,NORWOOD PARK,16 NORWOOD RD,Toronto East York,32,Public,Outdoor Tennis Court,No,Asphalt,-79.3029781,43.68261507,5,Basketball
3952,Old Mill Site Park,OLD MILL SITE PARK - Tennis Court Area,OLD MILL SITE PARK,5 CATHERINE ST,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,-79.49046919,43.65111594,4,Basketball
3947,Oriole Park - North York,ORIOLE PARK - NORTH YORK - Tennis Court Area,ORIOLE PARK - NORTH YORK,2955 DON MILLS RD,North York,33,Club,Outdoor Tennis Court,Yes,Asphalt,-79.35078455,43.78203982,4,Basketball
3944,Oriole Park - Toronto,ORIOLE PARK - TORONTO - Tennis Court Area,ORIOLE PARK - TORONTO,201 ORIOLE PKWY,Toronto East York,22,Public,Outdoor Tennis Court,No,Asphalt,-79.39928015,43.6969922,2,Basketball
3940,Ourland Park,OURLAND PARK - Tennis Court Area,OURLAND PARK,18 OURLAND AVE,Etobicoke York,6,Public,Outdoor Tennis Court,Yes,Asphalt,-79.50956085,43.61631438,2,Basketball
3932,Park Lawn Park,PARK LAWN PARK - Tennis Court Area,PARK LAWN PARK,330 PARK LAWN RD,Etobicoke York,5,Public,Outdoor Tennis Court,Yes,Asphalt,-79.4953937,43.63924231,4,Basketball
29320,Cassandra Park,,CASSANDRA PARK,230 CASSANDRA BLVD,North York,34,Club,Clubhouse,,,-79.31915436,43.75468027,1,Basketball
3920,Pelmo Park,PELMO PARK - Tennis Court Area,PELMO PARK,171 PELLATT AVE,Etobicoke York,11,Public,Outdoor Tennis Court,Yes,Asphalt,-79.51906095,43.71397485,3,Basketball
3913,Pine Point Park,PINE POINT PARK - Tennis Court Area (  1),PINE POINT PARK,4 CONAN RD,Etobicoke York,2,Public,Outdoor Tennis Court,Yes,Clay,-79.54979383,43.71129856,6,Basketball
29597,Pine Point Park,,PINE POINT PARK,15 GRIERSON RD,Etobicoke York,2,Club,Clubhouse,,,-79.54408584,43.71256193,1,Basketball
3898,Prairie Drive Park,PRAIRIE DRIVE PARK - Tennis Court Area,PRAIRIE DRIVE PARK,70 PRAIRIE DR,Scarborough,35,Public,Outdoor Tennis Court,Yes,Asphalt,-79.28492538,43.69675134,3,Basketball
3891,Prince Of Wales Park,PRINCE OF WALES PARK - Tennis Court Area,PRINCE OF WALES PARK,1 THIRD ST,Etobicoke York,6,Public,Outdoor Tennis Court,Yes,Asphalt,-79.49893224,43.59861493,4,Basketball
3889,Princess Anne Park,PRINCESS ANNE PARK - Tennis Court Area,PRINCESS ANNE PARK,25A PRINCESS MARGARET Blvd,Etobicoke York,4,Public,Outdoor Tennis Court,No,Asphalt,-79.54023202,43.67270221,2,Basketball
3879,Queensway Park,,QUEENSWAY PARK,8 AVON PARK DR,Etobicoke York,5,Public,Outdoor Tennis Court,No,Asphalt,-79.50594856,43.62657891,1,Basketball
3872,Ramsden Park,RAMSDEN PARK - Tennis Court Area (  1),RAMSDEN PARK,1020 YONGE ST,Toronto East York,27,Public,Outdoor Tennis Court,Yes,Asphalt,-79.39151097,43.67626161,12,Basketball
3858,Humberside Grounds,RAVINA GARDENS - Tennis Court Area,HUMBERSIDE GROUNDS,230 GLENDONWYNNE RD,Etobicoke York,13,Public,Outdoor Tennis Court,No,Asphalt,-79.46973613,43.65990043,4,Basketball
3850,Rennie Park,RENNIE PARK - Tennis Court Area,RENNIE PARK,1 RENNIE TER,Etobicoke York,13,Club,Outdoor Tennis Court,Yes,Coated,-79.47368631,43.64468087,4,Basketball
3829,Rockford Park,ROCKFORD PARK - Tennis Court Area,ROCKFORD PARK,70 ROCKFORD RD,North York,10,Public,Outdoor Tennis Court,Yes,Asphalt,-79.45320245,43.78603914,2,Basketball
3810,Rosedale Park,ROSEDALE PARK - Tennis Court Area (  1),ROSEDALE PARK,20 SCHOLFIELD AVE,Toronto East York,27,Club,Outdoor Tennis Court,Yes,Coated,-79.37869472,43.68336863,8,Basketball
3800,Rosethorn Park,ROSETHORN PARK - Tennis Court Area,ROSETHORN PARK,26 REMINGTON DR,Etobicoke York,4,Club,Outdoor Tennis Court,Yes,Coated,-79.53885664,43.65842435,3,Basketball
3797,Rotary Peace Park,ROTARY PEACE PARK - Tennis Court Area,ROTARY PEACE PARK,25 ELEVENTH ST,Etobicoke York,6,Public,Outdoor Tennis Court,No,Asphalt,-79.50806035,43.59518774,2,Basketball
3791,Royal Crest Park,ROYAL CREST PARK - Tennis Court Area,ROYAL CREST PARK,50 CABERNET CIR,Etobicoke York,1,Public,Outdoor Tennis Court,Yes,Concrete,-79.60500827,43.75253274,3,Basketball
3786,Roywood Park,ROYWOOD PARK - Tennis Court Area,ROYWOOD PARK,2 ROYWOOD DR,North York,34,Club,Outdoor Tennis Court,Yes,Asphalt,-79.3210754,43.76370464,4,Basketball
28182,Roywood Park,,ROYWOOD PARK,2 ROYWOOD DR,North York,34,Club,Clubhouse,,,-79.32073912,43.7641261,1,Basketball
3781,Ruddington Park,RUDDINGTON PARK - Tennis Court Area,RUDDINGTON PARK,75 RUDDINGTON DR,North York,24,Public,Outdoor Tennis Court,Yes,Asphalt,-79.38942478,43.79258616,3,Basketball
3778,Runnymede Park,RUNNYMEDE PARK - Tennis Court Area,RUNNYMEDE PARK,221 RYDING AVE,Etobicoke York,11,Public,Outdoor Tennis Court,No,Asphalt,-79.47774834,43.6682714,2,Basketball
3768,Scarborough Bluffs Park,SCARBOROUGH BLUFFS PARK - Tennis Court Area (  1),SCARBOROUGH BLUFFS PARK,61 UNDERCLIFF DR,Scarborough,36,Club,Outdoor Tennis Court,Yes,Asphalt,-79.24216212,43.70539961,4,Hockey
36745,Scarborough Bluffs Park,,SCARBOROUGH BLUFFS PARK,61 UNDERCLIFF DR,Scarborough,36,Club,Clubhouse,,,-79.241436,43.705082,1,Hockey
3762,Scarlett Mills Park,SCARLETT MILLS PARK - Tennis Court Area,SCARLETT MILLS PARK,235 EDENBRIDGE DR,Etobicoke York,4,Public,Outdoor Tennis Court,Yes,Asphalt,-79.51095312,43.67606649,4,Hockey
3753,Seneca Hill Park,SENECA HILL PARK - Tennis Court Area,SENECA HILL PARK,620 SENECA HILL DR,North York,33,Club,Outdoor Tennis Court,Yes,Coated,-79.35245229,43.79104936,4,Hockey
3749,Sentinel Park,SENTINEL PARK - Tennis Court Area,SENTINEL PARK,295 SENTINEL RD,North York,8,Public,Outdoor Tennis Court,No,Asphalt,-79.49813585,43.75574249,2,Hockey
3742,Seven Oaks Park,SEVEN OAKS PARK - Tennis Court Area,SEVEN OAKS PARK,372 MILITARY TRL,Scarborough,43,Club,Outdoor Tennis Court,Yes,Coated,-79.21050726,43.78812802,3,Hockey
3737,Shawnee Park,SHAWNEE PARK - Tennis Court Area,SHAWNEE PARK,81 SHAWNEE CIR,North York,33,Public,Outdoor Tennis Court,No,Asphalt,-79.33870752,43.79754498,4,Hockey
3733,Silver Creek Park,SILVER CREEK PARK - Tennis Court Area,SILVER CREEK PARK,44 STRATHDEE DR,Etobicoke York,4,Public,Outdoor Tennis Court,Yes,Asphalt,-79.54507528,43.68209369,3,Hockey
3726,Sir Adam Beck Park,SIR ADAM BECK PARK - Tennis Court Area,SIR ADAM BECK PARK,55 ELTHAM DR,Etobicoke York,6,Public,Outdoor Tennis Court,Yes,Asphalt,-79.54826365,43.60279773,2,Hockey
3718,Sir Winston Churchill Park,SIR WINSTON CHURCHILL PARK - Tennis Court Area,SIR WINSTON CHURCHILL PARK,301 ST CLAIR AVE W,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,-79.40880188,43.68389191,7,Hockey
29641,Sir Winston Churchill Park,,SIR WINSTON CHURCHILL PARK,301 ST CLAIR AVE W,Toronto East York,22,Club,Clubhouse,,,-79.40842725,43.68433366,1,Hockey
3708,Sorauren Avenue Park,SORAUREN AVENUE PARK - Tennis Court Area,SORAUREN AVENUE PARK,289 SORAUREN AVE,Toronto East York,14,Public,Outdoor Tennis Court,No,Asphalt,-79.44403272,43.64914108,2,Hockey
3696,Stanley Park ,STANLEY PARK - Tennis Court Area,STANLEY PARK ,27 STANLEY RD,Etobicoke York,7,Public,Outdoor Tennis Court,No,Asphalt,-79.51584331,43.74150002,3,Hockey
3693,Stanley Park South - Toronto,STANLEY PARK SOUTH - TORONTO - Tennis Court Area,STANLEY PARK SOUTH - TORONTO,700 WELLINGTON ST W,Toronto East York,19,Public,Outdoor Tennis Court,No,Asphalt,-79.40808359,43.64165035,2,Hockey
3687,Stephen Leacock Park,STEPHEN LEACOCK PARK - Tennis Court Area,STEPHEN LEACOCK PARK,2530 BIRCHMOUNT RD,Scarborough,40,Club,Outdoor Tennis Court,Yes,Coated,-79.30172608,43.78739564,4,Hockey
3679,Strathburn Park,STRATHBURN PARK - Tennis Court Area,STRATHBURN PARK,55 STRATHBURN BLVD,Etobicoke York,7,Public,Outdoor Tennis Court,Yes,Asphalt,-79.53258882,43.72176497,2,Hockey
3674,Summerlea Park,SUMMERLEA PARK - Tennis Court Area,SUMMERLEA PARK,2 ARCOT BLVD,Etobicoke York,2,Public,Outdoor Tennis Court,Yes,Asphalt,-79.55206435,43.728233,2,Hockey
3667,Sunnydale Acres Park,SUNNYDALE ACRES PARK - Tennis Court Area,SUNNYDALE ACRES PARK,50 AMORO DR,Etobicoke York,2,Public,Outdoor Tennis Court,Yes,Asphalt,-79.57833983,43.72454631,4,Hockey
3664,Sunnylea Park,SUNNYLEA PARK - Tennis Court Area,SUNNYLEA PARK,195 PRINCE EDWARD DR S,Etobicoke York,5,Public,Outdoor Tennis Court,Yes,Asphalt,-79.50187352,43.64156439,2,Hockey
3660,Sweeney Park,SWEENEY PARK - Tennis Court Area,SWEENEY PARK,110 SWEENEY DR,North York,34,Public,Outdoor Tennis Court,Yes,Asphalt,-79.31574876,43.73584145,3,Hockey
3657,Symington Avenue Playground,SYMINGTON AVENUE PLAYGROUND - Tennis Court Area,SYMINGTON AVENUE PLAYGROUND,431 PERTH AVE,Toronto East York,18,Public,Outdoor Tennis Court,No,Asphalt,-79.45201697,43.66656969,2,Hockey
3652,Tam Heather Country Club Grounds,TAM HEATHER COUNTRY CLUB - Tennis Court Area,TAM HEATHER COUNTRY CLUB GROUNDS,50 BONSPIEL DR,Scarborough,43,Club,Outdoor Tennis Court,Yes,Coated,-79.19832595,43.79144095,4,Hockey
3647,Thomson Memorial Park,THOMSON MEMORIAL PARK - Tennis Court Area,THOMSON MEMORIAL PARK,1005 BRIMLEY RD,Scarborough,38,Club,Outdoor Tennis Court,Yes,Coated,-79.2546493,43.75602336,3,Hockey
3643,Three Valleys Park,THREE VALLEYS PARK - Tennis Court Area,THREE VALLEYS PARK,82 THREE VALLEYS DR,North York,34,Club,Outdoor Tennis Court,Yes,Coated,-79.33898719,43.75037038,2,Hockey
3631,Tom Riley Park,TOM RILEY PARK - Tennis Court Area (  2),TOM RILEY PARK,4725 DUNDAS ST W,Etobicoke York,5,Club,Outdoor Tennis Court,Yes,Asphalt,-79.52004616,43.64786247,3,Hockey
3621,Topham Park,TOPHAM PARK - Tennis Court Area,TOPHAM PARK,181 WESTVIEW BLVD,Toronto East York,31,Public,Outdoor Tennis Court,Yes,Asphalt,-79.30645837,43.71094165,2,Hockey
3607,Tournament Park,TOURNAMENT PARK - Tennis Court Area,TOURNAMENT PARK,40 TOURNAMENT DR,North York,25,Club,Outdoor Tennis Court,Yes,Coated,-79.39991418,43.7511488,4,Hockey
29713,Tournament Park,,TOURNAMENT PARK,40 TOURNAMENT DR,North York,25,Club,Clubhouse,,,-79.40059469,43.75105109,1,Hockey
3600,Trace Manes Park,TRACE MANES PARK - Tennis Court Area (  1),TRACE MANES PARK,110 RUMSEY RD,North York,26,Club,Outdoor Tennis Court,Yes,Coated,-79.36764193,43.70548294,6,Hockey
3585,Trinity Bellwoods Park,TRINITY BELLWOODS PARK - Tennis Court Area,TRINITY BELLWOODS PARK,790 QUEEN ST W,Toronto East York,19,Public,Outdoor Tennis Court,Yes,Asphalt,-79.4124157,43.64666355,4,Hockey
3462,Valleyfield Park,,VALLEYFIELD PARK,35 THE WESTWAY,Etobicoke York,4,Public,Outdoor Tennis Court,No,Asphalt,-79.53424727,43.69490251,1,Hockey
3432,Viewmount Park,VIEWMOUNT PARK - Tennis Court Area,VIEWMOUNT PARK,169 VIEWMOUNT AVE,North York,15,Club,Outdoor Tennis Court,Yes,Coated,-79.43700745,43.70753823,4,Hockey
3285,Wanless Park,WANLESS PARK - Tennis Court Area,WANLESS PARK,250 WANLESS AVE,North York,25,Club,Outdoor Tennis Court,Yes,Coated,-79.3932826,43.72913182,5,Hockey
3196,Wedgewood Park - Etobicoke,,WEDGEWOOD PARK - ETOBICOKE,15 SWAN AVE,Etobicoke York,5,Public,Outdoor Tennis Court,No,Asphalt,-79.54741676,43.64415629,1,Hockey
